character_name,role,gender,anime
Naruto Uzumaki,hero,male,Naruto
Sakura Haruno,hero,female,Naruto
Eren Yeager,hero,male,Attack on Titan
Mikasa Ackerman,hero,female,Attack on Titan
Monkey D. Luffy,hero,male,One Piece
Nami,hero,female,One Piece
Tanjiro Kamado,hero,male,Demon Slayer
Nezuko Kamado,hero,female,Demon Slayer
Yuji Itadori,hero,male,Jujutsu Kaisen
Nobara Kugisaki,hero,female,Jujutsu Kaisen
Gon Freecss,hero,male,Hunter x Hunter
Biscuit Krueger,hero,female,Hunter x Hunter
Izuku Midoriya,hero,male,My Hero Academia
Ochako Uraraka,hero,female,My Hero Academia
Ichigo Kurosaki,hero,male,Bleach
Rukia Kuchiki,hero,female,Bleach
Edward Elric,hero,male,Fullmetal Alchemist
Winry Rockbell,hero,female,Fullmetal Alchemist
Natsu Dragneel,hero,male,Fairy Tail
Erza Scarlet,hero,female,Fairy Tail
Kirito,hero,male,Sword Art Online
Asuna Yuuki,hero,female,Sword Art Online
Ken Kaneki,hero,male,Tokyo Ghoul
Touka Kirishima,hero,female,Tokyo Ghoul
Lelouch Lamperouge,hero,male,Code Geass
Kallen Stadtfeld,hero,female,Code Geass
Asta,hero,male,Black Clover
Noelle Silva,hero,female,Black Clover
Senku Ishigami,hero,male,Dr. Stone
Kohaku,hero,female,Dr. Stone
Rin Okumura,hero,male,Blue Exorcist
Shiemi Moriyama,hero,female,Blue Exorcist
Mob (Shigeo Kageyama),hero,male,Mob Psycho 100
Tsubomi Takane,hero,female,Mob Psycho 100
Meliodas,hero,male,Seven Deadly Sins
Elizabeth Liones,hero,female,Seven Deadly Sins
Shinra Kusakabe,hero,male,Fire Force
Iris,hero,female,Fire Force
Yato,hero,male,Noragami
Hiyori Iki,hero,female,Noragami
Shirou Emiya,hero,male,Fate/Stay Night
Artoria Pendragon (Saber),hero,female,Fate/Stay Night
Subaru Natsuki,hero,male,Re:Zero
Emilia,hero,female,Re:Zero
Ryuko Matoi,hero,female,Kill la Kill
Mako Mankanshoku,hero,female,Kill la Kill
Soul Evans,hero,male,Soul Eater
Maka Albarn,hero,female,Soul Eater
Gintoki Sakata,hero,male,Gintama
Kagura,hero,female,Gintama
Shinya Kogami,hero,male,Psycho-Pass
Akane Tsunemori,hero,female,Psycho-Pass
Jotaro Kujo,hero,male,JoJo’s Bizarre Adventure
Jolyne Cujoh,hero,female,JoJo’s Bizarre Adventure
Shoyo Hinata,hero,male,Haikyuu!!
Kiyoko Shimizu,hero,female,Haikyuu!!
Inuyasha,hero,male,Inuyasha
